word,onset,offset
always,169093.2736,169379.9936
um,169891.9936,170122.3936
clicked,170142.8736,170281.1136
on,170291.3536,170363.0336
that,170373.2736,170537.1136
and,170741.9136,170793.1136
there's,170793.1136,170875.0336
my,170885.2736,170936.4736
image,170946.7136,171156.6336
and,171417.7536,171474.0736
i,171525.2736,171566.2336
and,171596.9536,171622.5536
i,171653.2736,171689.1136
thought,171730.0736,171822.2336
where,171832.4736,171909.2736
have,171878.5536,171934.8736
they,171934.8736,171980.9536
got,171980.9536,172062.8736
this,172062.8736,172165.2736
from,172155.0336,172257.4336
have,172267.6736,172318.8736
they,172318.8736,172426.3936
been,172585.1136,172667.0336
to,172677.2736,172723.3536
caters,172733.5936,172938.3936
news,172958.8736,173071.5136
agency,173091.9936,173322.3936
and,173332.6336,173450.3936
paid,173450.3936,173527.1936
a,173537.4336,173557.9136
license,173568.1536,173747.3536
fee,173767.8336,173834.3936
for,173875.3536,173987.9936
it,174008.4736,174064.7936
they,174408.0896,174459.2896
had,174479.7696,174556.5696
not,174566.8096,174699.9296
so,174872.9856,174924.1856
i,174934.4256,174949.7856
so,175000.9856,175072.6656
i,175082.9056,175098.2656
sent,175118.7456,175221.1456
them,175221.1456,175272.3456
a,175282.5856,175297.9456
letter,175297.9456,175482.2656
sent,175958.4256,176055.7056
them,176045.4656,176091.5456
a,176101.7856,176117.1456
letter,176127.3856,176265.6256
saying,176316.8256,176480.6656
i,176772.5056,176823.7056
think,176854.4256,176951.7056
you're,176951.7056,177008.0256
using,177018.2656,177161.6256
this,177182.1056,177274.2656
without,177284.5056,177525.1456
a,177545.6256,177586.5856
license,177607.0656,177847.7056
fee,177857.9456,178011.5456
um,178052.5056,178221.4656
could,178252.1856,178303.3856
you,178313.6256,178344.3456
show,178364.8256,178477.4656
me,178477.4656,178518.4256
one,178538.9056,178656.6656
or,178666.9056,178764.1856
or,178851.2256,178974.1056
or,178974.1056,179035.5456
would,179122.5856,179158.4256
you,179189.1456,179255.7056
would,179276.1856,179352.9856
you,179363.2256,179409.3056
pay,179409.3056,179598.7456
um,180115.8656,180320.6656
they,180525.4656,180602.2656
wrote,180602.2656,180709.7856
back,180709.7856,180878.7456
saying,181037.4656,181242.2656
this,181477.7856,181580.1856
this,181651.8656,181779.8656
this,181800.3456,181918.1056
image,181928.3456,182133.1456
we,182133.1456,182250.9056
believe,182332.8256,182491.5456
is,182532.5056,182675.8656
is,182696.3456,182773.1456
public,182783.3856,182926.7456
domain,182926.7456,183136.6656
in,183567.4624,183603.3024
other,183623.7824,183674.9824
words,183705.7024,183900.2624
anyone,183910.5024,184048.7424
could,184079.4624,184135.7824
use,184176.7424,184238.1824
it,184268.9024,184309.8624
without,184309.8624,184458.3424
david's,184458.3424,184606.8224
permission,184627.3024,184919.1424
for,185108.5824,185159.7824
free,185170.0224,185369.7024
to,185881.7024,185943.1424
david,185943.1424,186188.9024
that,186199.1424,186265.7024
was,186265.7024,186327.1424
just,186337.3824,186403.9424
stealing,186414.1824,186690.6624
he,187100.2624,187151.4624
makes,187171.9424,187264.1024
a,187274.3424,187289.7024
living,187320.4224,187443.3024
from,187453.5424,187535.4624
selling,187545.7024,187673.7024
his,187683.9424,187740.2624
pictures,187740.2624,188062.8224
so,188129.3824,188195.9424
it,188206.1824,188226.6624
was,188226.6624,188277.8624
really,188298.3424,188390.5024
helpful,188400.7424,188544.1024
to,188554.3424,188585.0624
have,188605.5424,188697.7024
one,188707.9424,188784.7424
that,188784.7424,188830.8224
was,188830.8224,188876.9024
such,188887.1424,188953.7024
a,188974.1824,188999.7824
hit,189020.2624,189168.7424
but,189639.7824,189721.7024
now,189721.7024,189854.8224
anyone,189906.0224,190049.3824
could,190059.6224,190136.4224
download,190136.4224,190284.9024
it,190315.6224,190397.5424
from,190418.0224,190499.9424
wikipedia,190510.1824,190832.7424
and,191119.4624,191150.1824
hang,191170.6624,191226.9824
it,191237.2224,191257.7024
on,191288.4224,191329.3824
their,191329.3824,191385.7024
wall,191416.4224,191626.3424
or,191718.5024,191744.1024
print,191774.8224,191831.1424
it,191841.3824,191882.3424
in,191892.5824,191923.3024
their,191913.0624,191974.5024
publication,191974.5024,192348.2624
wikipedia's,193024.1024,193310.8224
opinion,193331.3024,193536.1024
is,193546.3424,193597.5424
that,193607.7824,193694.8224
information,193694.8224,193976.4224
on,194007.1424,194048.1024
the,194048.1024,194089.0624
internet,194099.3024,194258.0224
should,194278.5024,194360.4224
be,194370.6624,194416.7424
free,194447.4624,194667.6224
and,195041.3824,195118.1824
david,195118.1824,195235.9424
soon,195266.6624,195394.6624
learned,195394.6624,195522.6624
that,195522.6624,195573.8624
they,195584.1024,195640.4224
had,195640.4224,195701.8624
decided,195712.1024,195962.9824
the,195983.4624,196014.1824
selfie,196024.4224,196198.5024
was,196218.9824,196275.3024
in,196285.5424,196336.7424
the,196336.7424,196372.5824
public,196372.5824,196541.5424
domain,196531.3024,196802.6624
because,196931.0208,197115.3408
the,197135.8208,197176.7808
monkey,197197.2608,197376.4608
pressed,197386.7008,197524.9408
the,197524.9408,197560.7808
button,197581.2608,197729.7408
so,199040.768,199086.848
the,199086.848,199117.568
monkey,199148.288,199337.728
was,199363.328,199424.768
technically,199435.008,199639.808
the,199650.048,199691.008
creator,199701.248,199921.408
of,199941.888,199998.208
the,199998.208,200028.928
photo,200039.168,200254.208
but,200704.768,200786.688
in,200827.648,200858.368
wikipedia's,200858.368,201160.448
assessment,201180.928,201488.128
monkeys,201590.528,201744.128
can't,201764.608,201872.128
own,201902.848,202000.128
copyrights,202000.128,202368.768
hence,202814.208,202978.048
the,203008.768,203054.848
photo,203075.328,203213.568
was,203234.048,203326.208
free,203341.568,203505.408
and,203505.408,203587.328
fair,203607.808,203761.408
for,203792.128,203853.568
all,203894.528,203986.688
to,204007.168,204053.248
use,204083.968,204334.848
it,204739.328,204775.168
belonged,204785.408,205020.928
to,205133.568,205164.288
the,205195.008,205241.088
internet,205251.328,205461.248
david,206055.168,206178.048
was,206198.528,206265.088
baffled,206265.088,206500.608
he,206828.288,206869.248
thought,206879.488,207007.488
well,207142.7072,207188.7872
surely,207219.5072,207480.6272
i've,207501.1072,207547.1872
got,207547.1872,207623.9872
the,207623.9872,207664.9472
copyright,207685.4272,207961.9072
i,208074.5472,208125.7472
set,208176.9472,208279.3472
it,208299.8272,208320.3072
all,208340.7872,208427.8272
up,208458.5472,208525.1072
i've,208535.3472,208617.2672
got,208617.2672,208694.0672
the,208704.3072,208760.6272
intent,208760.6272,208955.1872
i,208975.6672,209001.2672
had,209001.2672,209062.7072
the,209062.7072,209093.4272
creativity,209124.1472,209415.9872
alls,209436.4672,209528.6272
the,209538.8672,209559.3472
monkey,209569.5872,209687.3472
did,209687.3472,209753.9072
is,209743.6672,209789.7472
press,209810.2272,209897.2672
the,209907.5072,209938.2272
button,209938.2272,210061.1072
wikipedia,210524.4672,210775.3472
includes,210754.8672,210908.4672
a,210928.9472,210944.3072
note,210985.2672,211082.5472
below,211103.0272,211205.4272
the,211215.6672,211256.6272
photo,211266.8672,211512.6272
which,211553.5872,211650.8672
reads,211661.1072,211896.6272
quote,212050.2272,212229.4272
this,212480.3072,212577.5872
file,212587.8272,212736.3072
is,212767.0272,212802.8672
in,212813.1072,212854.0672
the,212854.0672,212895.0272
public,212905.2672,213063.9872
domain,213063.9872,213355.8272
because,213509.4272,213857.5872
as,213959.9872,214047.0272
the,214057.2672,214087.9872
work,214118.7072,214195.5072
of,214205.7472,214236.4672
a,214256.9472,214272.3072
nonhuman,214303.0272,214564.1472
animal,214564.1472,214815.0272
it,215014.7072,215045.4272
has,215096.6272,215163.1872
no,215183.6672,215245.1072
human,215296.3072,215434.5472
author,215465.2672,215680.3072
in,215700.7872,215751.9872
whom,215772.4672,215869.7472
copyright,215879.9872,216110.3872
is,216141.1072,216192.3072
vested,216192.3072,216438.0672
this,217113.9072,217200.9472
decision,217211.1872,217405.7472
of,217426.2272,217467.1872
wikipedia's,217477.4272,217902.3872
to,218081.5872,218148.1472
declare,218148.1472,218327.3472
the,218337.5872,218383.6672
photo,218383.6672,218552.6272
public,218562.8672,218752.3072
domain,218752.3072,219039.0272
that,219346.2272,219494.7072
was,219535.6672,219602.2272
the,219602.2272,219653.4272
opening,219684.1472,219837.7472
volley,219858.2272,220068.1472
in,220109.1072,220150.0672
the,220150.0672,220180.7872
monkey,220201.2672,220349.7472
selfie,220370.2272,220544.3072
battle,220575.0272,220728.6272
to,220749.1072,220795.1872
come,220805.4272,221020.4672
it,221481.2672,221496.6272
was,221476.1472,221522.2272
the,221532.4672,221552.9472
moment,221583.6672,221701.4272
when,221732.1472,221793.5872
mother,221793.5872,221901.1072
nature,221942.0672,222100.7872
was,222100.7872,222157.1072
shoved,222177.5872,222305.5872
aside,222305.5872,222551.3472
and,222612.7872,222669.1072
human,222689.5872,222848.3072
nature,222848.3072,223078.7072
with,223339.8272,223380.7872
its,223401.2672,223452.4672
overstuffed,223472.9472,223723.8272
baggage,223744.3072,223954.2272
of,223954.2272,224010.5472
laws,224020.7872,224230.7072
and,224251.1872,224307.5072
opinions,224307.5072,224573.7472
and,224604.4672,224660.7872
domination,224650.5472,225055.0272
took,225259.8272,225326.3872
a,225346.8672,225362.2272
seat,225392.9472,225520.9472
david,229063.9872,229191.9872
went,229212.4672,229268.7872
on,229289.2672,229319.9872
the,229340.4672,229381.4272
offensive,229391.6672,229657.9072
assembled,229847.3472,230016.3072
a,230026.5472,230052.1472
team,230072.6272,230149.4272
of,230180.1472,230215.9872
lawyers,230246.7072,230528.3072
studied,230569.2672,230707.5072
up,230727.9872,230784.3072
on,230784.3072,230840.6272
copyright,230840.6272,231081.2672
law,231122.2272,231265.5872
he,231501.1072,231552.3072
even,231562.5472,231634.2272
looked,231654.7072,231736.6272
into,231757.1072,231818.5472
finding,231828.7872,231982.3872
venture,231992.6272,232120.6272
capitalists,232151.3472,232463.6672
to,232463.6672,232514.8672
fund,232514.8672,232612.1472
a,232622.3872,232637.7472
lawsuit,232658.2272,232857.9072
against,232878.3872,233006.3872
wikipedia,233026.8672,233359.6672
wikimedia,233866.5472,234168.6272
that's,234404.1472,234532.1472
the,234532.1472,234578.2272
foundation,234598.7072,234818.8672
that,234818.8672,234885.4272
owns,234895.6672,235008.3072
wikipedia,235018.5472,235335.9872
they,235627.8272,235679.0272
just,235689.2672,235781.4272
gave,235781.4272,235847.9872
him,235858.2272,235919.6672
the,235919.6672,235955.5072
finger,235965.7472,236144.9472
this,236539.1872,236615.9872
was,236615.9872,236667.1872
at,236687.6672,236738.8672
their,236738.8672,236795.1872
big,236805.4272,236887.3472
conference,236887.3472,237097.2672
in,237107.5072,237153.5872
london,237163.8272,237399.3472
it's,237583.6672,237665.5872
called,237665.5872,237742.3872
wikimania,237752.6272,238151.9872
one,238551.3472,238587.1872
of,238607.6672,238643.5072
the,238617.9072,238643.5072
founders,238663.9872,238914.8672
jimmy,238955.8272,239068.4672
wales,239099.1872,239237.4272
was,239247.6672,239319.3472
there,239319.3472,239452.4672
i,239662.6944,239739.4944
soon,239759.9744,239908.4544
got,239908.4544,239975.0144
to,239995.4944,240051.8144
know,240072.2944,240190.0544
from,240220.7744,240312.9344
the,240333.4144,240384.6144
good,240476.7744,240558.6944
wikipedians,240579.1744,240901.7344
out,240942.6944,241029.7344
there,241029.7344,241162.8544
that,241480.2944,241608.2944
jimmy,241608.2944,241736.2944
wales,241746.5344,242053.7344
and,242104.9344,242263.6544
many,242330.2144,242427.4944
of,242437.7344,242468.4544
the,242468.4544,242499.1744
delegates,242499.1744,242826.8544
were,242847.3344,242965.0944
mocking,242985.5744,243154.5344
me,243175.0144,243303.0144
by,243466.8544,243671.6544
printing,244137.5744,244327.0144
out,244337.2544,244424.2944
my,244444.7744,244562.5344
image,244562.5344,244700.7744
on,244741.7344,244854.3744
great,244967.0144,245084.7744
big,245084.7744,245161.5744
boards,245197.4144,245463.6544
that,245494.3744,245560.9344
it,245560.9344,245581.4144
was,245642.8544,245688.9344
placed,245709.4144,245852.7744
all,245893.7344,245944.9344
over,245996.1344,246047.3344
the,246067.8144,246236.7744
conference,246467.1744,246738.5344
facility,246769.2544,247127.6544
and,247368.2944,247527.0144
jimmy,247527.0144,247624.2944
wales,247655.0144,247829.0944
and,247849.5744,247895.6544
and,248023.6544,248079.9744
various,248079.9744,248264.2944
other,248284.7744,248361.5744
people,248361.5744,248571.4944
were,248571.4944,248771.1744
encouraging,248801.8944,249226.8544
the,249226.8544,249262.6944
delegates,249262.6944,249575.0144
to,249585.2544,249646.6944
take,249667.1744,249866.8544
selfies,250071.6544,250450.5344
with,250634.8544,250686.0544
my,250706.5344,250788.4544
selfie,250819.1744,251039.3344
that's,251238.2976,251299.7376
just,251320.2176,251391.8976
mean,251432.8576,251576.2176
there,251437.4656,251483.5456
was,251493.7856,251534.7456
quite,251555.2256,251606.4256
a,251626.9056,251642.2656
few,251662.7456,251739.5456
of,251760.0256,251780.5056
these,251811.2256,251867.5456
images,251888.0256,252046.7456
around,252087.7056,252236.1856
the,252236.1856,252272.0256
place,252292.5056,252430.7456
on,252440.9856,252487.0656
the,252497.3056,252558.7456
internet,252568.9856,252784.0256
but,252784.0256,252855.7056
but,252896.6656,252968.3456
the,252968.3456,253004.1856
one,253004.1856,253127.0656
with,253137.3056,253208.9856
with,253249.9456,253331.8656
jimmy,253342.1056,253454.7456
wales,253475.2256,253649.3056
is,253669.7856,253746.5856
particularly,253756.8256,254120.3456
odious,254140.8256,254504.3456
um,254826.9056,255041.9456
wait,254906.1632,254982.9632
i,255003.4432,255029.0432
wanna,255049.5232,255126.3232
look,255157.0432,255228.7232
that,255238.9632,255310.6432
up,255331.1232,255402.8032
really,255413.0432,255510.3232
fast,255530.8032,255710.0032
here,255720.2432,255807.2832
hang,255904.5632,255971.1232
on,256012.0832,256099.1232
yeah,256347.136,256464.896
jimmy,256331.3664,256469.6064
wales,256520.8064,256746.0864
oh,257421.9264,257718.8864
monkey,257749.6064,257939.0464
selfie,257959.5264,258220.6464
jimmy,257904.5376,258001.8176
wales,258022.2976,258140.0576
wikimania,258160.5376,258518.9376
uhuh,258652.0576,258831.2576
here,258727.3216,258768.2816
we,258788.7616,258829.7216
go,258850.2016,258942.3616
oh,258962.8416,259019.1616
yeah,259060.1216,259121.5616
look,259142.0416,259208.6016
at,259218.8416,259264.9216
that,259275.1616,259444.1216
if,259863.9616,259920.2816
you,259930.5216,259976.6016
type,259997.0816,260119.9616
jimmy,260268.4416,260411.8016
wales,260452.7616,260601.2416
monkey,260642.2016,260785.5616
selfie,260836.7616,261082.5216
into,261113.2416,261236.1216
the,261236.1216,261277.0816
google,261297.5616,261507.4816
you'll,261748.1216,261814.6816
find,261824.9216,261911.9616
a,261922.2016,261942.6816
photo,261973.4016,262101.4016
of,262142.3616,262173.08160000003
an,262193.5616,262239.6416
adult,262249.88159999996,262388.1216
male,262429.08160000003,262516.1216
human,262567.3216,262782.3616
holding,263053.7216,263176.6016
his,263176.6016,263238.0416
phone,263258.5216,263355.8016
up,263366.0416,263417.2416
in,263427.4816,263463.3216
one,263494.0416,263570.84160000004
hand,263591.3216,263770.5216
and,263975.3216,264026.5216
the,264026.5216,264057.2416
monkey,264057.2416,264180.1216
selfie,264200.6016,264338.84160000004
in,264349.08160000003,264390.0416
the,264400.2816,264436.1216
other,264456.6016,264640.9216
right,264774.0416,264835.4816
next,264845.7216,264948.1216
to,264948.1216,264978.84160000004
his,264999.3216,265071.00159999996
face,265091.4816,265321.8816
and,265726.3616,265859.4816
he's,265910.6816,265982.3616
got,265992.6016,266043.8016
his,266054.0416,266100.1216
lips,266110.3616,266253.7216
puckered,266263.9616,266417.5616
up,266448.2816,266591.6416
like,266709.4016,266786.2016
a,266796.4416,266822.0416
duck,266852.7616,267001.2416
he,267513.6512,267544.3712
looks,267564.8512,267651.8912
ridiculous,267672.3712,268025.6512
now,268482.304,268548.864
is,268569.344,268610.304
he,268651.264,268748.544
is,268799.744,268856.064
that,268856.064,268912.384
face,268984.064,269122.304
he's,269142.784,269224.704
making,269224.704,269439.744
is,269460.224,269516.544
that,269516.544,269721.344
well,270478.1824,270529.3824
it's,270549.8624,270616.4224
like,270626.6624,270739.3024
a,270739.3024,270754.6624
duck,270805.8624,270908.2624
face,270918.5024,271061.8624
and,270732.0832,270778.1632
he's,270798.6432,270936.8832
why,271110.9632,271192.8832
why,271295.2832,271366.9632
is,271387.4432,271448.8832
i,271094.6304,271120.2304
don't,271120.2304,271212.3904
know,271212.3904,271284.0704
where,271284.0704,271381.3504
that,271381.3504,271432.5504
comes,271463.2704,271601.5104
from,271601.5104,271709.0304
i,271882.1376,271938.4576
don't,271969.1776,272020.3776
either,272071.5776,272230.2976
but,271707.648,271748.608
a,271758.848,271779.328
of,271840.768,271881.728
people,271891.968,272035.328
seem,272066.048,272178.688
to,272188.928,272229.888
do,272240.128,272322.048
this,272322.048,272409.088
duck,272455.168,272557.568
lips,272578.048,272813.568
how,273194.24,273230.08
did,273250.56,273291.52
you,273322.24,273363.2
feel,273383.68,273470.72
when,273501.44,273552.64
you,273573.12,273639.68
saw,273788.16,273880.32
that,273880.32,273957.12
jimmy,273977.6,274100.48
wales,274110.72,274243.84
selfie,274254.08,274438.4
with,274469.12,274540.8
your,274607.36,274694.4
monkey,274714.88,274842.88
selfie,274863.36,275042.56
so,275748.352,275850.752
angry,275891.712,276091.392
david,279937.2288,280070.3488
was,280111.3088,280188.1088
fighting,280198.3488,280357.0688
goliath,280357.0688,280735.9488
and,281038.0288,281089.2288
then,281089.2288,281171.1488
one,281171.1488,281273.5488
day,281273.5488,281427.1488
the,281498.8288,281529.5488
battle,281539.7888,281672.9088
took,281693.3888,281770.1888
on,281811.1488,281893.0688
epic,281913.5488,282062.0288
new,282092.7488,282179.7888
proportions,282179.7888,282635.4688
it,282983.6288,282998.9888
was,283004.1088,283055.3088
like,283055.3088,283147.4688
king,283157.7088,283244.7488
kong,283254.9888,283393.2288
walked,283403.4688,283505.8688
onto,283546.8288,283628.7488
the,283649.2288,283674.8288
scene,283705.5488,283930.8288
and,283971.7888,284033.2288
now,284033.2288,284099.7888
david,284130.5088,284263.6288
had,284273.8688,284340.4288
to,284340.4288,284376.2688
battle,284386.5088,284514.5088
him,284545.2288,284657.8688
too,284678.3488,284842.1888
the,285420.7488,285461.7088
dispute,285471.9488,285646.0288
with,285666.5088,285738.1888
wikimedia,285748.4288,286127.3088
had,286137.5488,286224.5888
generated,286234.8288,286495.9488
some,286495.9488,286608.5888
press,286618.8288,286757.0688
in,286777.5488,286818.5088
the,286818.5088,286849.2288
uk,286890.1888,287151.3088
and,287612.1088,287647.9488
one,287658.1888,287755.4688
day,287755.4688,287883.4688
david's,288011.4688,288139.4688
wife,288170.1888,288277.7088
was,288298.1888,288334.0288
online,288364.7488,288661.7088
there,288861.5936,288933.2736
it,288943.5136,288974.2336
was,288994.7136,289158.5536
um,289189.2736,289307.0336
photographer,289624.4736,289926.5536
being,289957.2736,290069.9136
sued,290110.8736,290259.3536
by,290269.5936,290356.6336
a,290377.1136,290392.4736
monkey,290443.6736,290663.8336
yeah,290868.6336,290981.2736
just,291155.3536,291221.9136
as,291273.1136,291298.7136
i,291319.1936,291375.5136
just,291426.7136,291513.7536
yeah,291790.2336,291867.0336
yeah,292179.3536,292251.0336
you,290828.2368,290858.9568
found,290879.4368,290971.5968
out,291002.3168,291068.8768
the,291079.1168,291109.8368
monkey,291140.5568,291278.7968
was,291289.0368,291376.0768
suing,291406.7968,291539.9168
you,291560.3968,291698.6368
because,291801.0368,291944.3968
your,291975.1168,292021.1968
wife,292041.6768,292215.7568
found,292266.9568,292394.9568
it,292405.1968,292451.2768
online,292481.9968,292671.4368
yeah,293111.808,293234.688
hm,293408.0512,293469.4912
just,293648.1792,293724.9792
as,293735.2192,293771.0592
i,293791.5392,293812.0192
found,293842.7392,293955.3792
out,293986.0992,294042.4192
wikipedia,294052.6592,294370.0992
was,294390.5792,294477.6192
stealing,294477.6192,294672.1792
it,294702.8992,294774.5792
because,294846.2592,294984.4992
i,295015.2192,295030.5792
stumbled,295071.5392,295271.2192
across,295271.2192,295435.0592
it,295506.7392,295563.0592
i,295583.5392,295629.6192
also,295650.0992,295757.6192
stumbled,295788.3392,295962.4192
across,295972.6592,296110.8992
the,296110.8992,296141.6192
fact,296151.8592,296269.6192
that,296269.6192,296300.3392
i,296310.5792,296336.1792
was,296346.4192,296402.7392
being,296412.9792,296479.5392
sued,296500.0192,296638.2592
by,296648.4992,296730.4192
a,296730.4192,296745.7792
monkey,296756.0192,296965.9392
the,297413.0688,297438.6688
monkey,297459.1488,297607.6288
in,297648.5888,297684.4288
the,297684.4288,297715.1488
selfie,297725.3888,297894.3488
photos,297925.0688,298170.8288
was,298191.3088,298262.9888
suing,298273.2288,298385.8688
him,298396.1088,298457.5488
for,298467.7888,298513.8688
copyright,298524.1088,298754.5088
infringement,298785.2288,299353.5488
with,299414.9888,299461.0688
the,299461.0688,299507.1488
help,299517.3888,299583.9488
of,299614.6688,299645.3888
peta,299706.8288,299906.5088
people,300131.7888,300305.8688
for,300326.3488,300382.6688
the,300382.6688,300428.7488
ethical,300449.2288,300587.4688
treatment,300628.4288,300787.1488
of,300807.6288,300838.3488
animals,300848.5888,301140.4288
david,301601.2288,301718.9888
called,301729.2288,301816.2688
his,301826.5088,301882.8288
lawyers,301903.3088,302102.9888
and,302133.7088,302184.9088
said,302215.6288,302394.8288
look,302501.0176,302572.6976
have,302582.9376,302639.2576
you,302649.4976,302669.9776
seen,302700.6976,302828.6976
what's,302838.9376,302925.9776
happening,302946.4576,303084.6976
now,303125.6576,303299.7376
what,303309.9776,303407.2576
can,303417.4976,303478.9376
we,303478.9376,303530.1376
do,303540.3776,303663.2576
and,303693.9776,303760.5376
they,303760.5376,303862.9376
said,303893.6576,304052.3776
dave,304277.6576,304487.5776
this,304733.3376,304815.2576
is,304856.2176,304938.1376
clearly,304984.2176,305281.1776
an,305301.6576,305332.3776
april,305342.6176,305496.2176
fools',305496.2176,305839.2576
somebody,305880.2176,306120.8576
is,306120.8576,306207.8976
having,306218.1376,306376.8576
you,306387.0976,306469.0176
on,306479.2576,306597.0176
they,307068.0576,307098.7776
said,307109.0176,307226.7776
just,307237.0176,307375.2576
sit,307385.4976,307503.2576
back,307513.4976,307677.3376
let's,307708.0576,307810.4576
see,307800.2176,307882.1376
what,307902.6176,307974.2976
happens,307984.5376,308240.5376
but,308250.7776,308322.4576
do,308383.8976,308496.5376
not,308496.5376,308583.5776
respond,308593.8176,308793.4976
to,308803.7376,308854.9376
it,308875.4176,308962.4576
and,309530.7776,309633.1776
you,309740.6976,309807.2576
can't,309817.4976,309930.1376
you,310001.8176,310068.3776
know,310078.6176,310165.6576
you've,310216.8576,310303.8976
got,310314.1376,310380.6976
nothing,310390.9376,310513.8176
to,310534.2976,310575.2576
worry,310575.2576,310636.6976
about,310636.6976,310744.2176
until,310744.2176,310841.4976
you,310882.4576,310908.0576
get,310897.8176,310959.2576
served,310979.7376,311102.6176
papers,311102.6176,311312.5376
let's,311322.7776,311425.1776
see,311425.1776,311507.0976
what,311507.0976,311558.2976
happens,311568.5376,311788.6976
right,311839.1296,311931.2896
and,312058.7776,312094.6176
sure,312115.0976,312227.7376
enough,312258.4576,312447.8976
one,312447.8976,312601.4976
afternoon,312842.1376,313149.3376
i,313149.3376,313180.0576
was,313200.5376,313277.3376
at,313287.5776,313318.2976
home,313338.7776,313487.2576
and,313507.7376,313584.5376
there's,313584.5376,313651.0976
a,313671.5776,313686.9376
knock,313697.1776,313794.4576
at,313804.6976,313835.4176
the,313835.4176,313876.3776
door,313896.8576,314081.1776
and,314506.1376,314557.3376
a,314567.5776,314603.4176
and,314685.3376,314726.2976
a,314746.7776,314762.1376
man,314772.3776,314849.1776
in,314869.6576,314915.7376
a,314925.9776,314946.4576
black,314956.6976,315074.4576
suit,315115.4176,315315.0976
um,315560.8576,315755.4176
was,315883.4176,315939.7376
standing,315949.9776,316098.4576
in,316129.1776,316200.8576
my,316200.8576,316303.2576
porch,316323.7376,316497.8176
way,316528.5376,316717.9776
or,316774.2976,316856.2176
i,316876.6976,316917.6576
opened,316927.8976,317050.7776
the,317050.7776,317081.4976
door,317112.2176,317291.4176
he,317322.1376,317511.5776
thrust,317619.0976,317808.5376
a,317808.5376,317844.3776
large,317844.3776,318059.4176
a4,318136.2176,318376.8576
sized,318397.3376,318617.4976
white,318637.9776,318735.2576
envelope,318735.2576,318970.7776
in,318970.7776,319006.6176
my,319006.6176,319073.1776
hand,319083.4176,319242.1376
and,319564.6976,319615.8976
says,319636.3776,319749.0176
i've,319769.4976,319825.8176
been,319836.0576,319882.1376
instructed,319892.3776,320179.0976
to,320199.5776,320286.6176
to,320414.6176,320465.8176
pass,320465.8176,320634.7776
these,320634.7776,320773.0176
to,320773.0176,320834.4576
you,320844.6976,320977.8176
so,321320.8576,321392.5376
i,321433.4976,321479.5776
said,321520.5376,321643.4176
what,321694.6176,321771.4176
are,321812.3776,321899.4176
they,321919.8976,322068.3776
and,322385.8176,322447.2576
i,322483.0976,322529.1776
opened,322539.4176,322728.8576
it,322739.0976,322780.0576
in,322780.0576,322846.6176
front,322877.3376,323010.4576
of,323020.6976,323066.7776
him,323077.0176,323179.4176
and,323384.2176,323645.3376
i,323655.5776,323706.7776
took,323747.7376,323824.5376
it,323855.2576,323891.0976
out,323891.0976,324090.7776
and,324111.2576,324167.5776
i,324198.2976,324254.6176
said,324285.3376,324382.6176
to,324403.0976,324449.1776
him,324459.4176,324577.1776
do,324618.1376,324643.7376
you,324664.2176,324689.8176
know,324720.5376,324807.5776
what,324807.5776,324894.6176
this,324915.0976,325002.1376
is,325043.0976,325150.6176
and,325160.8576,325212.0576
he,325222.2976,325242.7776
said,325283.7376,325411.7376
not,325421.9776,325488.5376
really,325529.4976,325785.4976
i,326021.0176,326041.4976
said,326061.9776,326138.7776
i'm,326159.2576,326230.9376
being,326241.1776,326358.9376
sued,326389.6576,326563.7376
by,326563.7376,326655.8976
a,326686.6176,326707.0976
monkey,326768.5376,327004.0576
and,327004.0576,327039.8976
i,327050.1376,327075.7376
showed,327116.6976,327265.1776
him,327285.6576,327352.2176
and,327669.6576,327731.0976
he,327741.3376,327772.0576
started,327802.7776,327951.2576
laughing,327992.2176,328232.8576
and,328877.056,328933.376
we,328943.616,328964.096
had,328984.576,329015.296
a,329035.776,329071.616
little,329020.416,329153.536
chat,329174.016,329450.496
cause,329481.216,329537.536
he,329568.256,329578.496
was,329588.736,329634.816
just,329645.056,329757.696
he,329814.016,329839.616
was,329860.096,329901.056
a,329911.296,329926.656
local,329947.136,330100.736
uh,330213.376,330331.136
from,330351.616,330433.536
a,330443.776,330459.136
local,330469.376,330612.736
firm,330622.976,330832.896
down,330858.496,330960.896
the,330960.896,330996.736
road,331006.976,331083.776
from,331094.016,331186.176
me,331206.656,331334.656
uhuh,331399.168,331563.008
and,331644.3648,331685.3248
he,331695.5648,331721.1648
went,331731.4048,331782.6048
on,331803.0848,331859.4048
his,331859.4048,331920.8448
merry,331931.0848,332033.4848
way,332074.4448,332212.6848
i've,332640.512,332701.952
read,332712.192,332799.232
the,332799.232,332829.952
complaint,332840.192,333116.672
it's,333152.512,333198.592
kind,333208.832,333295.872
of,333306.112,333347.072
weird,333347.072,333526.272
you,333818.112,333864.192
flip,333874.432,333976.832
through,333987.072,334048.512
pages,334089.472,334248.192
and,334278.912,334324.992
pages,334324.992,334499.072
of,334529.792,334570.752
legalese,334580.992,334847.232
about,334888.192,335016.192
copyright,335026.432,335231.232
law,335261.952,335441.152
and,335686.912,335743.232
then,335743.232,335789.312
at,335799.552,335850.752
the,335850.752,335891.712
end,335932.672,336127.232
